"antibiotics exclusion","location","condition","Group 0 sample size","Group 1 sample size","Group 0 name","Group 1 name","Group 1 definition","host species","body_site","sequencing type","16S variable region (lower bound)","16S variable region (upper bound)","sequencing platform","statistical test","LDA Score >","significance threshold","MHT correction","matched on","confounders controlled for","Pielou","Shannon","Chao1","Simpson","Inverse Simpson","Richness","Study","Page Name"
"28 days","Japan","squamous cell carcinoma","80","60","noncancer individuals","Oral Squamous Cell Cancer patients","All diagnoses of oral squamous cell carcinoma were confirmed by biopsy and pathological findings.The control group was defined as individuals without any diagnosed mucosal diseases and other cancers and these individuals were over the age of 40.","Homo sapiens","saliva","16S","3","4","Illumina","t-test","","0.05","No","","","","unchanged","increased","unchanged","","increased","Study 125","Experiment 1"
"","China","oral leukoplakia","19","10","healthy controls","Oral leukoplakia","","Homo sapiens","saliva","16S","","","Illumina","Kruskall-Wallis","","0.05","No","","","","unchanged","increased","unchanged","","","Study 126","Experiment 1"
"","China","squamous cell carcinoma","19","16","healthy controls","Oral Squamous Cell Cancer patients","","Homo sapiens","saliva","16S","","","Illumina","Kruskall-Wallis","","0.05","No","","","","increased","unchanged","increased","","","Study 126","Experiment 2"
"","China","oral leukoplakia","16","10","Oral Squamous Cell Cancer patients","Oral leukoplakia","","Homo sapiens","saliva","16S","","","Illumina","Kruskall-Wallis","","0.05","No","","","","unchanged","unchanged","increased","","","Study 126","Experiment 3"
"4 weeks","Norway","alcohol drinking","18","24","controls","alcohol overconsumers","","Homo sapiens","feces","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","","","","unchanged","","","","","Study 127","Experiment 1"
"4 weeks","Norway","alcohol drinking","18","24","controls","alcohol overconsumers","","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","","0.05","No","","","","unchanged","","","","","Study 127","Experiment 2"
"2 months","China","gastric cancer","37","17","intestinal metaplasia","gastric cancer","","Homo sapiens","stomach","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","age, sex, helicobacter pylori","","","decreased","","","decreased","Study 128","Experiment 1"
"2 months","China","gastric cancer","37","74","atrophic gastric","gastric cancer","","Homo sapiens","stomach","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","age, sex, helicobacter pylori","","","unchanged","","","unchanged","Study 128","Experiment 2"
"2 months","China","gastric cancer","37","77","superficial gastric","gastric cancer","","Homo sapiens","stomach","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","age, sex, helicobacter pylori","","","decreased","","","decreased","Study 128","Experiment 3"
"current","United States of America","multiple sclerosis","36","31","healthy controls","multiple sclerosis","","Homo sapiens","feces","16S","3","5","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","age, sex","","","unchanged","","","","","Study 129","Experiment 1"
"6 months","Spain","diet","3","7","low Southern European Atlantic Diet","high Southern European Atlantic Diet","SEAD: Southern European Atlantic Diet. SEAD adherence was measured using an index of nine food components (fresh fish, cod, red meat and pork products, dairy products, legumes and vegetables, vegetable soup, po- tatoes, wholegrain bread and wine) that ranged from 0 (lowest adherence) to 9 (highest adherence).","Homo sapiens","feces","16S","","","RT-qPCR","ANOVA","","0.05","No","","","","","","","","","Study 130","Experiment 1"
"6 months","Spain","diet","3","21","low Southern European Atlantic Diet","intermediate Southern European Atlantic Diet","SEAD: Southern European Atlantic Diet. SEAD adherence was measured using an index of nine food components (fresh fish, cod, red meat and pork products, dairy products, legumes and vegetables, vegetable soup, po- tatoes, wholegrain bread and wine) that ranged from 0 (lowest adherence) to 9 (highest adherence).","Homo sapiens","feces","16S","","","RT-qPCR","ANOVA","","0.05","No","","","","","","","","","Study 130","Experiment 2"
"6 months","Spain","diet","5","11","<20 years participants","> 30 years participants","SEAD: Southern European Atlantic Diet. SEAD adherence was measured using an index of nine food components (fresh fish, cod, red meat and pork products, dairy products, legumes and vegetables, vegetable soup, po- tatoes, wholegrain bread and wine) that ranged from 0 (lowest adherence) to 9 (highest adherence).","Homo sapiens","feces","16S","","","RT-qPCR","ANOVA","","0.05","No","","","","","","","","","Study 130","Experiment 3"
"6 months","Spain","diet","5","15",">20 years participants","20-30 years participants","SEAD: Southern European Atlantic Diet. SEAD adherence was measured using an index of nine food components (fresh fish, cod, red meat and pork products, dairy products, legumes and vegetables, vegetable soup, po- tatoes, wholegrain bread and wine) that ranged from 0 (lowest adherence) to 9 (highest adherence).","Homo sapiens","feces","16S","","","RT-qPCR","ANOVA","","0.05","No","","","","","","","","","Study 130","Experiment 4"
"6 months","Spain","diet","15","11","20-30 years participants","> 30 years participants","SEAD: Southern European Atlantic Diet. SEAD adherence was measured using an index of nine food components (fresh fish, cod, red meat and pork products, dairy products, legumes and vegetables, vegetable soup, po- tatoes, wholegrain bread and wine) that ranged from 0 (lowest adherence) to 9 (highest adherence).","Homo sapiens","feces","16S","","","RT-qPCR","ANOVA","","0.05","No","","","","","","","","","Study 130","Experiment 5"
"6 months","Spain","diet","5","11","BMI < 20","BMI >25","SEAD: Southern European Atlantic Diet. SEAD adherence was measured using an index of nine food components (fresh fish, cod, red meat and pork products, dairy products, legumes and vegetables, vegetable soup, po- tatoes, wholegrain bread and wine) that ranged from 0 (lowest adherence) to 9 (highest adherence).","Homo sapiens","feces","16S","","","RT-qPCR","ANOVA","","0.05","No","","","","","","","","","Study 130","Experiment 6"
"6 months","Spain","diet","5","15","BMI <20","BMI 20-25","SEAD: Southern European Atlantic Diet. SEAD adherence was measured using an index of nine food components (fresh fish, cod, red meat and pork products, dairy products, legumes and vegetables, vegetable soup, po- tatoes, wholegrain bread and wine) that ranged from 0 (lowest adherence) to 9 (highest adherence).","Homo sapiens","feces","16S","","","RT-qPCR","ANOVA","","0.05","No","","","","","","","","","Study 130","Experiment 7"
"6 months","Spain","diet","15","11","BMI 20-25","BMI >25","SEAD: Southern European Atlantic Diet. SEAD adherence was measured using an index of nine food components (fresh fish, cod, red meat and pork products, dairy products, legumes and vegetables, vegetable soup, po- tatoes, wholegrain bread and wine) that ranged from 0 (lowest adherence) to 9 (highest adherence).","Homo sapiens","feces","16S","","","RT-qPCR","ANOVA","","0.05","No","","","","","","","","","Study 130","Experiment 8"
"current","Brazil","diet","21","21","Time 0 days controls","Time 7 days","","Homo sapiens","feces","16S","1","3","Roche454","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","decreased","unchanged","","","unchanged","Study 131","Experiment 1"
"current","Brazil","diet","21","21","Time 0 days Cara Cara","Time 7 days","","Homo sapiens","feces","16S","1","3","Roche454","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","unchanged","","","unchanged","Study 131","Experiment 2"
"current","Brazil","diet","21","21","Time 0 days Bahia","Time 7 days","","Homo sapiens","feces","16S","1","3","Roche454","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","unchanged","","","unchanged","Study 131","Experiment 3"
"current","Brazil","diet","21","21","controls at time 7","Cara Cara","","Homo sapiens","feces","16S","1","3","Roche454","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","","","Study 131","Experiment 4"
"current","Brazil","diet","21","21","controls at time 7","Bahia","","Homo sapiens","feces","16S","1","3","Roche454","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","","","Study 131","Experiment 5"
"current","Brazil","diet","21","21","Bahia at time 7","Cara Cara","","Homo sapiens","feces","16S","1","3","Roche454","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","","","Study 131","Experiment 6"
"3 months","United States of America","diet","16","16","mushroom","Meat","","Homo sapiens","feces","16S","1","3","Illumina","Linear Regression","","0.004","Yes","","age, sex, body mass index","","","","","","","Study 132","Experiment 1"
"","Japan","diet","45","13","Equol producer (""healhtier"" diet)","Equol NON producer (""unhealthier"" diet)","cross sectional","Homo sapiens","feces","16S","3","","Illumina","Linear Regression","","0.05","No","","","","decreased","","","","","Study 133","Experiment 1"
"","Japan","diet","45","13","Equol producer (""healhtier"" diet)","Equol NON producer (""unhealthier"" diet)","cross sectional","Homo sapiens","feces","16S","3","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","","","","decreased","","","","","Study 133","Experiment 2"
"","Denmark","diet","26","26","before Average Danish Diet","6 months after Average Danish Diet","the dietary intervention study of the NND compared to the ADD was performed as a 6-month, nonblinded, parallel, randomized, controlled, ad libitum dietary intervention trial and was carried out between October 2010 and July 2011.","Homo sapiens","feces","16S","","","RT-qPCR","t-test","","0.05","Yes","","","","","","","","","Study 134","Experiment 1"
"","Denmark","diet","36","36","before  New Nordic Diet","6 months after  New Nordic Diet","the dietary intervention study of the NND compared to the ADD was performed as a 6-month, nonblinded, parallel, randomized, controlled, ad libitum dietary intervention trial and was carried out between October 2010 and July 2011.","Homo sapiens","feces","16S","","","RT-qPCR","t-test","","0.05","Yes","","","","","","","","","Study 134","Experiment 2"
"6 months","United States of America","diet","98","98","low animal protein","High animal protein","high protein / low fiber","Homo sapiens","feces","16S","1","2","Roche454","ANOVA","","0.05","Yes","","","","","","","","","Study 135","Experiment 1"
"6 months","United States of America","diet","98","98","high fiber","Low fiber","high protein / low fiber","Homo sapiens","feces","16S","1","2","Roche454","ANOVA","","0.05","Yes","","","","","","","","","Study 135","Experiment 2"
"","Russian Federation","diet","215","215","high vegetable, fruit, grain","Low vegetable, fruit, grains,","low fiber","Homo sapiens","feces","16S","4","","Illumina","LEfSe","2","0.05","Yes","","","","","","","","","Study 136","Experiment 1"
"","Russian Federation","diet","215","215","before dietary intervention","two weeks after a dietry intervention","","Homo sapiens","feces","16S","4","","Illumina","LEfSe","2","0.05","Yes","","","","","","","","","Study 136","Experiment 2"
"2 months","China","colorectal cancer","104","62","controls","CRC","CRC positive during colonoscopy","Homo sapiens","feces","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.01","No","","","","","","","","increased","Study 137","Experiment 1"
"3 months","China","lung cancer","30","30","controls","lung cancer","","Homo sapiens","feces","16S","3","4","Illumina","Linear Regression","","0.05","No","","","","unchanged","","","","unchanged","Study 138","Experiment 1"
"","United States of America","squamous cell carcinoma","254","129","controls","HNSCC","histologically confirmed incident HNSCC including oral cavity, pharynx and larynx. (excluding salivary glands & nasopharynx)","Homo sapiens","oral gland","16S","3","4","Roche454","DESeq2","","0.1","Yes","sex, ethnic group, age at oral sample collection(within 1 year), date of oral sample collection collection","age, sex, smoking status, alcohol consumption","","","","","unchanged","unchanged","Study 139","Experiment 1"
"","United States of America","squamous cell carcinoma","254","58","controls","Larynx cancer cases","histologically confirmed incident HNSCC including oral cavity, pharynx and larynx. (excluding salivary glands & nasopharynx)","Homo sapiens","oral gland","16S","3","4","Roche454","DESeq2","","0.1","Yes","sex, ethnic group, age at oral sample collection(within 1 year), date of oral sample collection collection","age, sex, smoking status, alcohol consumption","","","","","","","Study 139","Experiment 2"
